,CustomPackageSource
microsoftazureeventhubsservicefabricprocessor,[tfm=netstandard2.0;isPrerelease=true;customSource=https://pkgs.dev.azure.com/azure-sdk/public/_packaging/azure-sdk-for-net/nuget/v3/index.json]Microsoft.Azure.EventHubs.ServiceFabricProcessor,0.5.6-alpha.20220912.1
microsoftazurecognitiveservicessearchbingautosuggest,[tfm=netstandard2.0;isPrerelease=true;customSource=https://pkgs.dev.azure.com/azure-sdk/public/_packaging/azure-sdk-for-net/nuget/v3/index.json]Microsoft.Azure.CognitiveServices.Search.BingAutoSuggest,2.1.0-alpha.20220912.1
azuremessagingeventhubsexperimental,[tfm=netstandard2.0;isPrerelease=true;customSource=https://pkgs.dev.azure.com/azure-sdk/public/_packaging/azure-sdk-for-net/nuget/v3/index.json]Azure.Messaging.EventHubs.Experimental,0.1.0-alpha.20220912.1
azurecommunicationjobrouter,[tfm=netstandard2.0;isPrerelease=true;customSource=https://pkgs.dev.azure.com/azure-sdk/public/_packaging/azure-sdk-for-net/nuget/v3/index.json]Azure.Communication.JobRouter,1.0.0-alpha.20220912.1
microsoftazurecognitiveservicessearchbingentitysearch,[tfm=netstandard2.0;isPrerelease=true;customSource=https://pkgs.dev.azure.com/azure-sdk/public/_packaging/azure-sdk-for-net/nuget/v3/index.json]Microsoft.Azure.CognitiveServices.Search.BingEntitySearch,2.1.0-alpha.20220912.1
azureiottimeseriesinsights,[tfm=netstandard2.0;isPrerelease=true;customSource=https://pkgs.dev.azure.com/azure-sdk/public/_packaging/azure-sdk-for-net/nuget/v3/index.json]Azure.IoT.TimeSeriesInsights,1.0.0-alpha.20220912.1
microsoftazurecognitiveservicessearchbingcustomimagesearch,[tfm=netstandard2.0;isPrerelease=true;customSource=https://pkgs.dev.azure.com/azure-sdk/public/_packaging/azure-sdk-for-net/nuget/v3/index.json]Microsoft.Azure.CognitiveServices.Search.BingCustomImageSearch,2.1.0-alpha.20220912.1
microsoftazurebatchfilestaging,[tfm=netstandard2.0;isPrerelease=true;customSource=https://pkgs.dev.azure.com/azure-sdk/public/_packaging/azure-sdk-for-net/nuget/v3/index.json]Microsoft.Azure.Batch.FileStaging,9.1.0-alpha.20220912.1
azurecommunicationalphaids,[tfm=netstandard2.0;isPrerelease=true;customSource=https://pkgs.dev.azure.com/azure-sdk/public/_packaging/azure-sdk-for-net/nuget/v3/index.json]Azure.Communication.AlphaIds,1.0.0-alpha.20220912.1
microsoftazurecognitiveservicessearchbingvideosearch,[tfm=netstandard2.0;isPrerelease=true;customSource=https://pkgs.dev.azure.com/azure-sdk/public/_packaging/azure-sdk-for-net/nuget/v3/index.json]Microsoft.Azure.CognitiveServices.Search.BingVideoSearch,2.1.0-alpha.20220912.1
microsoftazurebatchconventionsfiles,[tfm=netstandard2.0;isPrerelease=true;customSource=https://pkgs.dev.azure.com/azure-sdk/public/_packaging/azure-sdk-for-net/nuget/v3/index.json]Microsoft.Azure.Batch.Conventions.Files,4.1.0-alpha.20220912.1
azureresourcemanagerenergyservices,[tfm=netstandard2.0;isPrerelease=true;customSource=https://pkgs.dev.azure.com/azure-sdk/public/_packaging/azure-sdk-for-net/nuget/v3/index.json]Azure.ResourceManager.EnergyServices,1.0.0-alpha.20220912.1
microsoftazurecognitiveserviceslanguagespellcheck,[tfm=netstandard2.0;isPrerelease=true;customSource=https://pkgs.dev.azure.com/azure-sdk/public/_packaging/azure-sdk-for-net/nuget/v3/index.json]Microsoft.Azure.CognitiveServices.Language.SpellCheck,4.1.0-alpha.20220912.1
